Samples,Test,Units,Score,SD,Model,Multiplier,socket,foundry,process_size,transistors,die_size,package,market,production_status,release_date,launch_price,part#,frequency,turbo_clock,base_clock,multiplier,multiplier_unlocked,tdp,codename,generation,memory_support,rated_speed,memory_bus,memory_bandwidth,ecc_memory,pci-express,#_of_cores,#_of_threads,smp_#_cpus,integrated_graphics,cache_l1,cache_l2,cache_l3
6.0,miniFE,CG Mflops (Average),19583,2158,Intel Xeon Max 9468,2,Intel Socket 4677,Intel,10 nm,,4x 477 mm²,FC-LGA16A,Server/Workstation,Active,"Jan 10th, 2023",$9900,SRMJE,2.1 GHz,up to 3.5 GHz,100 MHz,21.0x,No,350 W,Sapphire Rapids HBM,Xeon Max  (Sapphire Rapids),DDR5,4800 MT/s,Eight-channel,307.2 GB/s,Yes,"Gen 5, 80 Lanes (CPU only)",48.0,96.0,2.0,,80 KB (per core),2 MB (per core),105 MB
8.0,miniFE,CG Mflops (Average),19430,482,AMD Ryzen Threadripper 7980X,1,AMD Socket sTR5,TSMC,5 nm,"52,560 million",8x 71 mm²,FC-LGA4844,Desktop,Active,"Oct 19th, 2023",$4999,100-000001350,3.2 GHz,up to 5.1 GHz,100 MHz,32.0x,Yes,350 W,Storm Peak,Ryzen Threadripper  (Zen 4 (Storm Peak)),DDR5,5200 MT/s,Quad-channel,166.4 GB/s,Yes,"Gen 5, 48 Lanes (CPU only)",64.0,128.0,1.0,,64 KB (per core),1 MB (per core),256 MB (shared)
19.0,miniFE,CG Mflops (Average),19366,42,AMD EPYC 7642,1,AMD Socket SP3,TSMC,7 nm,"3,800 million",74 mm²,FCLGA-4094,Server/Workstation,Active,"Aug 7th, 2019",,100-000000074,2.4 GHz,up to 3.4 GHz,100 MHz,24.0x,No,225 W,Rome,EPYC  (Zen 2 (Rome)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,Gen 4,48.0,96.0,2.0,,96 KB (per core),512 KB (per core),256 MB (shared)
5.0,miniFE,CG Mflops (Average),19278,899,Intel Xeon Max 9480,1,Intel Socket 4677,Intel,10 nm,,4x 477 mm²,FC-LGA16A,Server/Workstation,Active,"Jan 10th, 2023",$12980,SRMJA,1900 MHz,up to 3.5 GHz,100 MHz,19.0x,No,350 W,Sapphire Rapids HBM,Xeon Max  (Sapphire Rapids),DDR5,4800 MT/s,Eight-channel,307.2 GB/s,Yes,"Gen 5, 80 Lanes (CPU only)",56.0,112.0,2.0,,80 KB (per core),2 MB (per core),112.5 MB
14.0,miniFE,CG Mflops (Average),19130,37,AMD EPYC 7702,1,AMD Socket SP3,TSMC,7 nm,"3,800 million",74 mm²,FCLGA-4094,Server/Workstation,Active,"Aug 7th, 2019",,100-000000038,2000 MHz,up to 3.35 GHz,100 MHz,20.0x,No,200 W,Rome,EPYC  (Zen 2 (Rome)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,Gen 4,64.0,128.0,2.0,,96 KB (per core),512 KB (per core),256 MB (shared)
6.0,miniFE,CG Mflops (Average),19106,19106,AMD Ryzen Threadripper 7970X,1,AMD Socket sTR5,TSMC,5 nm,"26,280 million",4x 71 mm²,FC-LGA4844,Desktop,Active,"Oct 19th, 2023",$2499,100-000001351,4 GHz,up to 5.3 GHz,100 MHz,40.0x,Yes,350 W,Storm Peak,Ryzen Threadripper  (Zen 4 (Storm Peak)),DDR5,5200 MT/s,Quad-channel,166.4 GB/s,Yes,"Gen 5, 48 Lanes (CPU only)",32.0,64.0,1.0,,64 KB (per core),1 MB (per core),128 MB (shared)
6.0,miniFE,CG Mflops (Average),18623,2607,AMD EPYC 75F3,1,AMD Socket SP3,TSMC,7 nm,"33,200 million",8x 81 mm²,FCLGA-4094,Server/Workstation,Active,"Mar 15th, 2021",$4860,100-000000313 100-100000313WOF,2.95 GHz,up to 4 GHz,100 MHz,29.5x,No,280 W,Milan,EPYC  (Zen 3 (Milan)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,"Gen 4, 128 Lanes (CPU only)",32.0,64.0,2.0,,64 KB (per core),512 KB (per core),256 MB (shared)
3.0,miniFE,CG Mflops (Average),17006,21,AMD RYZEN AI MAX PRO 390,1,AMD Socket FP11,TSMC,4 nm,,,FC-BGA,Mobile,Active,"Jan 6th, 2025",,100-000001421,3.2 GHz,up to 5 GHz,100 MHz,32.0x,No,55 W,Strix Halo,Ryzen AI Max  (Zen 5 (Strix Halo)),LPDDR5X,8000 MT/s,Quad-channel,256.0 GB/s,Yes,"Gen 4, 16 Lanes (CPU only)",12,24,1,Radeon 8050S,80 KB (per core),1 MB (per core),64 MB (shared)
3.0,miniFE,CG Mflops (Average),14927,673,AMD EPYC 7642,2,AMD Socket SP3,TSMC,7 nm,"3,800 million",74 mm²,FCLGA-4094,Server/Workstation,Active,"Aug 7th, 2019",,100-000000074,2.4 GHz,up to 3.4 GHz,100 MHz,24.0x,No,225 W,Rome,EPYC  (Zen 2 (Rome)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,Gen 4,48.0,96.0,2.0,,96 KB (per core),512 KB (per core),256 MB (shared)
3.0,miniFE,CG Mflops (Average),12389,12389,Intel Core Ultra 9 285K,1,Intel Socket 1851,TSMC,3 nm,"17,800 million",243 mm²,FC-LGA18W,Desktop,Active,"Oct 24th, 2024",$589,SRQD5,3.7 GHz,up to 5.7 GHz,100 MHz,37.0x,Yes,125 W,Arrow Lake-S,Ultra 9  (Arrow Lake),DDR5,6400 MT/s,Dual-channel,102.4 GB/s,Yes,"Gen 5, 20 Lanes (CPU only)",24,24,1,Arc Xe-LPG Graphics 64EU,192 KB (per core),3 MB (per core),36 MB (shared)
3.0,miniFE,CG Mflops (Average),12312,12312,Intel Core i5-14500,1,Intel Socket 1700,Intel,10 nm,,215 mm²,FC-LGA16A,Desktop,Active,"Jan 8th, 2024",$232,SRN3T,2.6 GHz,up to 5 GHz,100 MHz,26.0x,No,65 W,Raptor Lake-R,Core i5  (Raptor Lake Refresh),"DDR4, DDR5",,Dual-channel,,Yes,"Gen 5, 16 Lanes (CPU only)",14,20,1,UHD Graphics 770,80 KB (per core),1.25 MB (per core),24 MB (shared)
7.0,miniFE,CG Mflops (Average),11588,338,AMD EPYC 7601,1,AMD Socket SP3,GlobalFoundries,14 nm,"4,800 million",213 mm²,FCLGA-4094,Server/Workstation,Active,"Jun 29th, 2017",,PS7601BDVIHAF,2.2 GHz,up to 3.2 GHz,100 MHz,22.0x,Yes,180 W,Naples,EPYC  (Zen (Naples)),DDR4,2666 MT/s,Eight-channel,170.6 GB/s,Yes,Gen 3,32.0,64.0,2.0,,96 KB (per core),512 KB (per core),64 MB (shared)
3.0,miniFE,CG Mflops (Average),10130,10130,Intel Core i3-14100,1,Intel Socket 1700,Intel,10 nm,,163 mm²,FC-LGA16A,Desktop,Active,"Jan 8th, 2024",$134,SRMX1,3.5 GHz,up to 4.7 GHz,100 MHz,35.0x,No,60 W,Raptor Lake-R,Core i3  (Raptor Lake Refresh),"DDR4, DDR5",,Dual-channel,,Yes,"Gen 5, 16 Lanes (CPU only)",4,8,1,UHD Graphics 730,80 KB (per core),1.25 MB (per core),12 MB (shared)
7.0,miniFE,CG Mflops (Average),9779,148,AMD Ryzen Threadripper 3990X,1,AMD Socket TRX4,TSMC,7 nm,"30,400 million",8x 74 mm²,sTRX4,Desktop,Active,"Feb 7th, 2020",$3990,100-000000163 100-100000163WOF,2.9 GHz,up to 4.3 GHz,100 MHz,29.0x,Yes,280 W,Castle Peak,Ryzen Threadripper  (Zen 2 (Castle Peak)),DDR4,3200 MT/s,Quad-channel,102.4 GB/s,No,"Gen 4, 64 Lanes (CPU only)",64.0,128.0,1.0,,64 KB (per core),512 KB (per core),256 MB
4.0,miniFE,CG Mflops (Average),9466,5,Intel Xeon Silver 4108,1,Intel Socket 4189,Intel,10 nm,,,FC-LGA4189,Server/Workstation,Active,"Apr 6th, 2021",,unknown,2.1 GHz,up to 3.3 GHz,100 MHz,21.0x,No,120 W,Ice Lake-SP,Xeon Silver  (Ice Lake-SP),DDR4,2667 MT/s,Eight-channel,170.7 GB/s,Yes,"Gen 4, 64 Lanes (CPU only)",12.0,24.0,2.0,,64 KB (per core),1 MB (per core),18 MB (shared)
3.0,miniFE,CG Mflops (Average),9249,9249,AMD Ryzen 9 9950X3D,1,AMD Socket AM5,TSMC,4 nm,"16,630 million",2x 70.6 mm²,FC-LGA1718,Desktop,Active,"Jan 6th, 2025",$699,100-000000719,4.3 GHz,up to 5.7 GHz,100 MHz,43.0x,Yes,170 W,Granite Ridge,Ryzen 9  (Zen 5 (Granite Ridge)),DDR5,5600 MT/s,Dual-channel,89.6 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",16,32,1,Radeon Graphics,80 KB (per core),1 MB (per core),128 MB (shared)
5.0,miniFE,CG Mflops (Average),9234,229,AMD Ryzen 9 9950X,1,AMD Socket AM5,TSMC,4 nm,"16,630 million",2x 70.6 mm²,FC-LGA1718,Desktop,Active,"Aug 15th, 2024",$649,100-000001277,4.3 GHz,up to 5.7 GHz,100 MHz,43.0x,Yes,170 W,Granite Ridge,Ryzen 9  (Zen 5 (Granite Ridge)),DDR5,5600 MT/s,Dual-channel,89.6 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",16,32,1,Radeon Graphics,80 KB (per core),1 MB (per core),64 MB (shared)
12.0,miniFE,CG Mflops (Average),8869,346,Intel Core i9-7980XE,1,Intel Socket 2066,Intel,14 nm,,484 mm²,FC-LGA2066,Desktop,End-of-life,"Sep 1st, 2017",$1999,SR3RS,2.6 GHz,up to 4.4 GHz,100 MHz,26.0x,Yes,165 W,Skylake-X,Core i9 Extreme  (X-Series 7th Gen),DDR4,2666 MT/s,Quad-channel,85.3 GB/s,No,"Gen 3, 44 Lanes (CPU only)",18.0,36.0,1.0,,64 KB (per core),1 MB (per core),24.75 MB (shared)
4.0,miniFE,CG Mflops (Average),8771,8771,AMD Ryzen 5 8600G,1,AMD Socket AM5,TSMC,4 nm,"25,000 million",178 mm²,FC-LGA1718,Desktop,Active,"Jan 8th, 2024",$229,100-000001237,4.3 GHz,up to 5 GHz,100 MHz,43.0x,Yes,65 W,Phoenix,Ryzen 5  (Zen 4 (Phoenix)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,No,"Gen 4, 20 Lanes (CPU only)",6,12,1,Radeon 760M,64 KB (per core),1 MB (per core),16 MB (shared)
17.0,miniFE,CG Mflops (Average),8635,6,Intel Core i9-7960X,1,Intel Socket 2066,Intel,14 nm,,484 mm²,FC-LGA2066,Desktop,End-of-life,"Sep 1st, 2017",$1699,SR3RR,2.8 GHz,up to 4.4 GHz,100 MHz,28.0x,Yes,165 W,Skylake-X,Core i9  (X-Series 7th Gen),DDR4,2666 MT/s,Quad-channel,85.3 GB/s,No,"Gen 3, 44 Lanes (CPU only)",16.0,32.0,1.0,,64 KB (per core),1 MB (per core),22 MB (shared)
8.0,miniFE,CG Mflops (Average),7906,13,AMD Ryzen 9 7900X3D,1,AMD Socket AM5,TSMC,5 nm,"17,840 million",2x 71 mm²,FC-LGA1718,Desktop,Active,"Jan 4th, 2023",$599,100-000000909,4.4 GHz,up to 5.6 GHz,100 MHz,44.0x,Yes,120 W,Raphael,Ryzen 9  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",12,24,1,Radeon Graphics,64 KB (per core),1 MB (per core),128 MB (shared)
3.0,miniFE,CG Mflops (Average),7902,337,AMD Ryzen Threadripper 2950X,1,AMD Socket SP3r2,GlobalFoundries,12 nm,"9,600 million",2x 213 mm²,sTR4,Desktop,Active,"Aug 31st, 2018",$899,YD295XA8UGAAF,3.5 GHz,up to 4.4 GHz,100 MHz,35.0x,Yes,180 W,Colfax,Ryzen Threadripper  (Zen+ (Colfax)),DDR4,2933 MT/s,Quad-channel,93.9 GB/s,No,"Gen 3, 60 Lanes (CPU only)",16.0,32.0,1.0,,96 KB (per core),512 KB (per core),32 MB
6.0,miniFE,CG Mflops (Average),7877,337,AMD Ryzen 7 7800X3D,1,AMD Socket AM5,TSMC,5 nm,"11,270 million",71 mm²,FC-LGA1718,Desktop,Active,"Jan 4th, 2023",$449,100-000000910,4.2 GHz,up to 5 GHz,100 MHz,42.0x,No,120 W,Raphael,Ryzen 7  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",8,16,1,Radeon Graphics,64 KB (per core),1 MB (per core),96 MB (shared)
11.0,miniFE,CG Mflops (Average),7790,3,AMD Ryzen 9 7900X,1,AMD Socket AM5,TSMC,5 nm,"13,140 million",2x 71 mm²,FC-LGA1718,Desktop,Active,"Sep 27th, 2022",$549,100-000000589,4.7 GHz,up to 5.6 GHz,100 MHz,47.0x,Yes,170 W,Raphael,Ryzen 9  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",12,24,1,Radeon Graphics,64 KB (per core),1 MB (per core),64 MB (shared)
13.0,miniFE,CG Mflops (Average),7750,21,AMD Ryzen Threadripper 3960X,1,AMD Socket TRX4,TSMC,7 nm,"15,200 million",4x 74 mm²,sTRX4,Desktop,Active,"Nov 25th, 2019",$1399,100-000000010 100-100000010WOF,3.8 GHz,up to 4.5 GHz,100 MHz,38.0x,Yes,280 W,Castle Peak,Ryzen Threadripper  (Zen 2 (Castle Peak)),DDR4,3200 MT/s,Quad-channel,102.4 GB/s,No,Gen 4,24.0,48.0,1.0,,64 KB (per core),512 KB (per core),128 MB
9.0,miniFE,CG Mflops (Average),7663,541,AMD Ryzen 9 7950X3D,1,AMD Socket AM5,TSMC,5 nm,"17,840 million",2x 71 mm²,FC-LGA1718,Desktop,Active,"Jan 4th, 2023",$699,100-000000908,4.2 GHz,up to 5.7 GHz,100 MHz,42.0x,Yes,120 W,Raphael,Ryzen 9  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",16,32,1,Radeon Graphics,64 KB (per core),1 MB (per core),128 MB (shared)
8.0,miniFE,CG Mflops (Average),7643,4,AMD Ryzen 7 7700,1,AMD Socket AM5,TSMC,5 nm,"6,570 million",71 mm²,FC-LGA1718,Desktop,Active,"Jan 14th, 2023",$329,100-000000592,3.8 GHz,up to 5.3 GHz,100 MHz,38.0x,Yes,65 W,Raphael,Ryzen 7  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",8,16,1,Radeon Graphics,64 KB (per core),1 MB (per core),32 MB (shared)
8.0,miniFE,CG Mflops (Average),7589,13,AMD Ryzen 7 7700X,1,AMD Socket AM5,TSMC,5 nm,"6,570 million",71 mm²,FC-LGA1718,Desktop,Active,"Sep 27th, 2022",$399,100-000000591,4.5 GHz,up to 5.4 GHz,100 MHz,45.0x,Yes,105 W,Raphael,Ryzen 7  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",8,16,1,Radeon Graphics,64 KB (per core),1 MB (per core),32 MB (shared)
6.0,miniFE,CG Mflops (Average),7457,61,AMD Ryzen 9 7950X,1,AMD Socket AM5,TSMC,5 nm,"13,140 million",2x 71 mm²,FC-LGA1718,Desktop,Active,"Sep 27th, 2022",$699,100-000000514,4.5 GHz,up to 5.7 GHz,100 MHz,45.0x,Yes,170 W,Raphael,Ryzen 9  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",16,32,1,Radeon Graphics,64 KB (per core),1 MB (per core),64 MB (shared)
4.0,miniFE,CG Mflops (Average),7395,22,AMD Ryzen 9 7900,1,AMD Socket AM5,TSMC,5 nm,"13,140 million",2x 71 mm²,FC-LGA1718,Desktop,Active,"Jan 14th, 2023",$429,100-000000590,3.7 GHz,up to 5.4 GHz,100 MHz,37.0x,Yes,65 W,Raphael,Ryzen 9  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",12,24,1,Radeon Graphics,64 KB (per core),1 MB (per core),64 MB (shared)
17.0,miniFE,CG Mflops (Average),7373,359,Intel Core i9-10980XE,1,Intel Socket 2066,Intel,14 nm,,,FC-LGA2066,Desktop,End-of-life,"Oct 19th, 2019",$1076,SRGSG,3 GHz,up to 4.8 GHz,100 MHz,30.0x,Yes,165 W,Cascade Lake-X,Core i9 Extreme  (X-Series 10th Gen),DDR4,2933 MT/s,Quad-channel,93.9 GB/s,No,"Gen 3, 48 Lanes (CPU only)",18.0,36.0,1.0,,64 KB (per core),1 MB (per core),24.75 MB (shared)
8.0,miniFE,CG Mflops (Average),7331,20,AMD Ryzen 5 7600X,1,AMD Socket AM5,TSMC,5 nm,"6,570 million",71 mm²,FC-LGA1718,Desktop,Active,"Sep 27th, 2022",$299,100-000000593,4.7 GHz,up to 5.3 GHz,100 MHz,47.0x,Yes,105 W,Raphael,Ryzen 5  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",6,12,1,Radeon Graphics,64 KB (per core),1 MB (per core),32 MB (shared)
3.0,miniFE,CG Mflops (Average),6553,317,AMD EPYC 7601,2,AMD Socket SP3,GlobalFoundries,14 nm,"4,800 million",213 mm²,FCLGA-4094,Server/Workstation,Active,"Jun 29th, 2017",,PS7601BDVIHAF,2.2 GHz,up to 3.2 GHz,100 MHz,22.0x,Yes,180 W,Naples,EPYC  (Zen (Naples)),DDR4,2666 MT/s,Eight-channel,170.6 GB/s,Yes,Gen 3,32.0,64.0,2.0,,96 KB (per core),512 KB (per core),64 MB (shared)
4.0,miniFE,CG Mflops (Average),6513,148,AMD Ryzen Threadripper 2970WX,1,AMD Socket SP3r2,GlobalFoundries,12 nm,"19,200 million",4x 213 mm²,sTR4,Desktop,Active,"Oct 2nd, 2018",$1299,YD297XAZUHCAF,3 GHz,up to 4.2 GHz,100 MHz,30.0x,Yes,250 W,Colfax,Ryzen Threadripper  (Zen+ (Colfax)),DDR4,2933 MT/s,Quad-channel,93.9 GB/s,No,"Gen 3, 60 Lanes (CPU only)",24.0,48.0,1.0,,96 KB (per core),512 KB (per core),64 MB
9.0,miniFE,CG Mflops (Average),6480,256,Intel Core i7-5960X,1,Intel Socket 2011-3,Intel,22 nm,"2,600 million",356 mm²,,Desktop,End-of-life,"Sep 1st, 2014",,SR20Q,3 GHz,up to 3.5 GHz,100 MHz,30.0x,Yes,140 W,Haswell-E,Core i7 Extreme  (Haswell-E),DDR4,2133 MT/s,Quad-channel,68.3 GB/s,No,"Gen 3, 40 Lanes (CPU only)",8.0,16.0,1.0,,64 KB (per core),256 KB (per core),20 MB (shared)
8.0,miniFE,CG Mflops (Average),6149,332,Intel Core i7-12700K,1,Intel Socket 1700,Intel,10 nm,,215 mm²,FC-LGA16A,Desktop,Active,"Nov 4th, 2021",$409,SRL4N,3.6 GHz,up to 5 GHz,100 MHz,36.0x,Yes,125 W,Alder Lake-S,Core i7  (Alder Lake-S),"DDR4, DDR5",,Dual-channel,,No,"Gen 4, 20 Lanes (CPU only)",12,20,1,UHD Graphics 770,80 KB (per core),1.25 MB (per core),25 MB (shared)
7.0,miniFE,CG Mflops (Average),5882,10,AMD Ryzen 7 1700 Eight-Core,1,AMD Socket AM4,GlobalFoundries,14 nm,"4,800 million",213 mm²,µOPGA-1331,Desktop,Active,"Mar 2nd, 2017",$329,YD1700BBAEBOX,3 GHz,up to 3.7 GHz,100 MHz,30.0x,Yes,65 W,Zen,Ryzen 7  (Zen (Summit Ridge)),DDR4,2666 MT/s,Dual-channel,42.7 GB/s,Yes,"Gen 3, 16 Lanes (CPU only)",8.0,16.0,1.0,,96 KB (per core),512 KB (per core),16 MB (shared)
4.0,miniFE,CG Mflops (Average),5774,473,AMD Ryzen Threadripper 2990WX,1,AMD Socket SP3r2,GlobalFoundries,12 nm,"19,200 million",4x 213 mm²,sTR4,Desktop,Active,"Aug 13th, 2018",$1799,YD299XAZUIHAF,3 GHz,up to 4.2 GHz,100 MHz,30.0x,Yes,250 W,Colfax,Ryzen Threadripper  (Zen+ (Colfax)),DDR4,2933 MT/s,Quad-channel,93.9 GB/s,No,"Gen 3, 60 Lanes (CPU only)",32.0,64.0,1.0,,96 KB (per core),512 KB (per core),64 MB
3.0,miniFE,CG Mflops (Average),5564,88,AMD Ryzen 7 5800H,1,AMD Socket FP6,TSMC,7 nm,"10,700 million",180 mm²,FP6,Mobile,Active,"Jan 12th, 2021",,100-000000295,3.2 GHz,up to 4.4 GHz,100 MHz,32.0x,No,45 W,Cezanne,Ryzen 7  (Zen 3 (Cezanne)),DDR4,4266 MT/s,Dual-channel,68.3 GB/s,No,Gen 3,8,16,1,Radeon Vega 8,64 KB (per core),512 KB (per core),16 MB (shared)
8.0,miniFE,CG Mflops (Average),4714,388,AMD Ryzen 5 5600X,1,AMD Socket AM4,TSMC,7 nm,"4,150 million",74 mm²,µOPGA-1331,Desktop,Active,"Nov 5th, 2020",$299,100-000000065,3.7 GHz,up to 4.6 GHz,100 MHz,37.0x,Yes,65 W,Vermeer,Ryzen 5  (Zen 3 (Vermeer)),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,Yes,"Gen 4, 20 Lanes (CPU only)",6.0,12.0,1.0,,64 KB (per core),512 KB (per core),32 MB
3.0,miniFE,CG Mflops (Average),4698,1,Intel Core i7-10700T,1,Intel Socket 1200,Intel,14 nm,,,FC-LGA1200,Desktop,Active,"Apr 30th, 2020",,SRH6Y,2.9 GHz,up to 4.8 GHz,100 MHz,29.0x,No,65 W,Comet Lake,Core i7  (Comet Lake),DDR4,2933 MT/s,Dual-channel,46.9 GB/s,No,"Gen 3, 16 Lanes (CPU only)",8,16,1,UHD Graphics 630,64 KB (per core),256 KB (per core),16 MB (shared)
9.0,miniFE,CG Mflops (Average),4688,511,AMD Ryzen 7 5800X3D,1,AMD Socket AM4,TSMC,7 nm,"8,850 million",74 mm²,µOPGA-1331,Desktop,End-of-life,"Apr 20th, 2022",$449,100-000000651,3.4 GHz,up to 4.5 GHz,100 MHz,34.0x,No,105 W,Vermeer,Ryzen 7  (Zen 3 (Vermeer)),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,Yes,"Gen 4, 20 Lanes (CPU only)",8.0,16.0,1.0,,64 KB (per core),512 KB (per core),96 MB (shared)
5.0,miniFE,CG Mflops (Average),4672,78,Intel Core i9-9900KS,1,Intel Socket 1151,Intel,14 nm,,180 mm²,FC-LGA14C,Desktop,End-of-life,"Oct 28th, 2019",$513,SRG1Q,4 GHz,up to 5 GHz,100 MHz,40.0x,Yes,127 W,Coffee Lake-R,Core i9  (Coffee Lake Refresh),DDR4,2666 MT/s,Dual-channel,42.7 GB/s,No,"Gen 3, 16 Lanes (CPU only)",8,16,1,UHD 630,64 KB (per core),256 KB (per core),16 MB (shared)
13.0,miniFE,CG Mflops (Average),4548,423,AMD Ryzen 7 5800X,1,AMD Socket AM4,TSMC,7 nm,"4,150 million",74 mm²,µOPGA-1331,Desktop,Active,"Nov 5th, 2020",$449,100-000000063,3.8 GHz,up to 4.7 GHz,100 MHz,38.0x,Yes,105 W,Vermeer,Ryzen 7  (Zen 3 (Vermeer)),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,Yes,"Gen 4, 20 Lanes (CPU only)",8.0,16.0,1.0,,64 KB (per core),512 KB (per core),32 MB
27.0,miniFE,CG Mflops (Average),4425,237,AMD Ryzen 9 5900X,1,AMD Socket AM4,TSMC,7 nm,"8,300 million",2x 74 mm²,µOPGA-1331,Desktop,Active,"Nov 5th, 2020",$549,100-000000061,3.7 GHz,up to 4.8 GHz,100 MHz,37.0x,Yes,105 W,Vermeer,Ryzen 9  (Zen 3 (Vermeer)),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,Yes,Gen 4,12.0,24.0,1.0,,64 KB (per core),512 KB (per core),64 MB
3.0,miniFE,CG Mflops (Average),4349,8,Intel Core i9-10885H,1,Intel BGA 1440,Intel,14 nm,,206 mm²,FC-BGA14F,Mobile,End-of-life,"Apr 2nd, 2020",$556,SRJ8J,2.4 GHz,up to 5.3 GHz,100 MHz,24.0x,No,45 W,Comet Lake-H,Core i9  (Comet Lake-H),DDR4,2933 MT/s,Dual-channel,46.9 GB/s,No,"Gen 3, 16 Lanes (CPU only)",8,16,1,UHD Graphics 630,64 KB (per core),256 KB (per core),16 MB (shared)
6.0,miniFE,CG Mflops (Average),4258,45,Intel Core i9-10900K,1,Intel Socket 1200,Intel,14 nm,,206 mm²,FC-LGA1200,Desktop,End-of-life,"Apr 30th, 2020",$547,SRH91,3.7 GHz,up to 5.3 GHz,100 MHz,37.0x,Yes,125 W,Comet Lake,Core i9  (Comet Lake),DDR4,2933 MT/s,Dual-channel,46.9 GB/s,No,"Gen 3, 16 Lanes (CPU only)",10,20,1,UHD Graphics 630,64 KB (per core),256 KB (per core),20 MB (shared)
3.0,miniFE,CG Mflops (Average),4235,66,Intel Xeon E3-1275 v6,1,Intel Socket 1151,Intel,14 nm,"1,400 million",160 mm²,FC-LGA14C,Server/Workstation,unknown,"Aug 1st, 2017",,SR373,4.1 GHz,up to 4.5 GHz,100 MHz,41.0x,No,79 W,Kaby Lake-DT,Xeon E3  (Kaby Lake-DT),DDR4,,Dual-channel,,Yes,"Gen 3, 16 Lanes (CPU only)",4,8,1,HD Graphics P630,64 KB (per core),256 KB (per core),8 MB (shared)
3.0,miniFE,CG Mflops (Average),4187,173,AMD Ryzen 5 3600X,1,AMD Socket AM4,TSMC,7 nm,"3,800 million",74 mm²,µOPGA-1331,Desktop,Active,"Jul 7th, 2019",$249,100-000000022,3.8 GHz,up to 4.4 GHz,100 MHz,38.0x,Yes,95 W,Matisse,Ryzen 5  (Zen 2 (Matisse)),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,No,Gen 4,6.0,12.0,1.0,,64 KB (per core),512 KB (per core),32 MB (shared)
5.0,miniFE,CG Mflops (Average),4108,3,Intel Xeon E-2336,1,Intel Socket 1200,Intel,14 nm,,276 mm²,FC-LGA1200,Server/Workstation,Active,"Sep 8th, 2021",$284,SRKN5,2.9 GHz,up to 4.8 GHz,100 MHz,29.0x,No,65 W,Rocket Lake-E,Xeon E  (Rocket Lake-E),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,Yes,"Gen 4, 20 Lanes (CPU only)",6.0,12.0,1.0,,80 KB (per core),512 KB (per core),12 MB (shared)
7.0,miniFE,CG Mflops (Average),4071,349,AMD Ryzen 7 3700X,1,AMD Socket AM4,TSMC,7 nm,"3,800 million",74 mm²,µOPGA-1331,Desktop,Active,"Jul 7th, 2019",$329,100-000000071,3.6 GHz,up to 4.4 GHz,100 MHz,36.0x,Yes,65 W,Matisse,Ryzen 7  (Zen 2 (Matisse)),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,No,"Gen 4, 24 Lanes (CPU only)",8.0,16.0,1.0,,64 KB (per core),512 KB (per core),32 MB
10.0,miniFE,CG Mflops (Average),4049,10,Intel Xeon E-2388G,1,Intel Socket 1200,Intel,14 nm,,276 mm²,FC-LGA1200,Server/Workstation,Active,"Sep 8th, 2021",$539,SRKMZ,3.2 GHz,up to 5.1 GHz,100 MHz,32.0x,No,95 W,Rocket Lake-E,Xeon E  (Rocket Lake-E),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,Yes,"Gen 4, 20 Lanes (CPU only)",8,16,1,UHD Graphics P750,80 KB (per core),512 KB (per core),16 MB (shared)
