Model and Mult,Multiplier,Brand,process_size,transistors,frequency,tdp,memory_bandwidth,#_of_cores,year,time,launch_price,market,Generalized Performance
AMD Ryzen Threadripper 2950X x 1,1,AMD,12,9600,3.5,180,93.9,16,2018,11,899,Desktop,0.0133768503362866
AMD Ryzen Threadripper 2970WX x 1,1,AMD,12,19200,3,250,93.9,24,2018,11,1299,Desktop,0.279671025616922
AMD Ryzen Threadripper 2990WX x 1,1,AMD,12,19200,3,250,93.9,32,2018,11,1799,Desktop,1.45761903131588
AMD Ryzen Threadripper 3960X x 1,1,AMD,7,15200,3.8,280,102.4,24,2019,12,1399,Desktop,2.73851542401274
AMD Ryzen Threadripper 3970X x 1,1,AMD,7,15200,3.7,280,102.4,32,2019,12,1999,Desktop,4.39710578571369
AMD Ryzen Threadripper 3990X x 1,1,AMD,7,30400,2.9,280,102.4,64,2020,13,3990,Desktop,3.94321372502949
AMD Ryzen Threadripper 7970X x 1,1,AMD,5,26280,4,350,166.4,32,2023,16,2499,Desktop,6.14658640474299
AMD Ryzen Threadripper 7980X x 1,1,AMD,5,52560,3.2,350,166.4,64,2023,16,4999,Desktop,7.52802857957254
AMD Ryzen Threadripper 9970X x 1,1,AMD,4,33260,4,350,204.8,32,2025,18,2499,Desktop,6.67224515130871
AMD Ryzen Threadripper 9980X x 1,1,AMD,4,66520,3.2,350,204.8,64,2025,18,4999,Desktop,8.66785674633218
AMD Ryzen Threadripper PRO 3975WX x 1,1,AMD,7,15200,3.5,280,204.8,32,2020,13,2749,Desktop,2.10280148106192
AMD Ryzen Threadripper PRO 5965WX x 1,1,AMD,7,16600,3.8,280,204.8,24,2022,15,2399,Server/Workstation,4.77925753943095
AMD Ryzen Threadripper PRO 7995WX x 1,1,AMD,5,78840,2.5,350,332.8,96,2023,16,9999,Server/Workstation,7.41348882551633
AMD Ryzen Threadripper PRO 9995WX x 1,1,AMD,4,99780,2.5,350,409.6,96,2025,18,11700,Server/Workstation,7.5902669674226
AMD Ryzen Z1 Extreme x 1,1,AMD,4,25000,3.3,15,89.6,8,2023,16,,Mobile,3.54313657386382
INTEL XEON PLATINUM 8592+ x 1,1,Intel,10,,,350,358.4,64,2023,16,11600,Server/Workstation,7.50334212483266
INTEL XEON PLATINUM 8592+ x 2,2,Intel,10,,,350,358.4,64,2023,16,11600,Server/Workstation,9.21786871469991
Intel Celeron G5900 x 1,1,Intel,14,,3.4,58,42.7,2,2020,13,60,Desktop,-9.00742726905638
Intel Celeron G6900 x 1,1,Intel,10,,3.4,46,,2,2022,15,52,Desktop,-4.27508480592147
Intel Celeron J3455 x 1,1,Intel,32,504,,17,,1,2011,4,,Mobile,-23.116456065718
Intel Celeron N2830 x 1,1,Intel,22,,2.16,7,,2,2014,7,,Mobile,-26.3876990146788
Intel Celeron N3350 x 1,1,Intel,32,504,,17,,1,2011,4,,Mobile,-21.2811717135445
Intel Core 2 Duo E8500 x 1,1,Intel,45,410,3.166,65,,2,2008,1,266,Desktop,-13.2692201301246
Intel Core 2 Duo P7350 x 1,1,Intel,45,420,2.667,65,,2,2008,1,241,Desktop,-23.4306721202487
Intel Core 2 Duo T7100 x 1,1,Intel,65,293,,35,,2,2007,0,,Mobile,-21.4510953284671
Intel Core 2 Duo T7700 x 1,1,Intel,65,293,2.4,35,,2,2007,0,,Mobile,-16.526940835497
Intel Core 2 Duo T9500 x 1,1,Intel,45,410,2.6,35,,2,2008,1,530,Mobile,-10.3931828386644
Intel Core Ultra 5 245K x 1,1,Intel,3,17800,4.2,125,102.4,14,2024,17,319,Desktop,4.3463839735949
Intel Core Ultra 7 155H x 1,1,Intel,7,,3.8,28,89.6,16,2023,16,503,Mobile,1.28930902499154
Intel Core Ultra 7 165U x 1,1,Intel,7,,,15,89.6,12,2023,16,448,Mobile,-0.0481174774861368
Intel Core Ultra 7 256V x 1,1,Intel,3,,2.2,17,,8,2024,17,,Mobile,1.52513713531302
Intel Core Ultra 7 258V x 1,1,Intel,3,,2.2,17,,8,2024,17,,Mobile,2.47417452229548
Intel Core Ultra 9 285K x 1,1,Intel,3,17800,3.7,125,102.4,24,2024,17,589,Desktop,4.83184114904322
Intel Core i3-1005G1 x 1,1,Intel,10,,,15,51.2,2,2019,12,,Mobile,-7.67902887532011
Intel Core i3-10100 x 1,1,Intel,14,,3.6,65,42.7,4,2020,13,122,Desktop,-2.10762156546586
Intel Core i3-12100 x 1,1,Intel,10,,3.3,60,,4,2022,15,122,Desktop,-2.39047605875076
Intel Core i3-14100 x 1,1,Intel,10,,3.5,60,,4,2024,17,134,Desktop,1.41933651244821
Intel Core i3-2120 x 1,1,Intel,32,504,3.3,65,21.3,2,2011,4,138,Desktop,-9.81567206898896
Intel Core i3-3110M x 1,1,Intel,22,,2.4,35,,2,2012,5,,Mobile,-15.2643731548399
Intel Core i3-4130 x 1,1,Intel,22,1400,3.4,54,,2,2013,6,130,Desktop,-9.30999188719338
Intel Core i3-7020U x 1,1,Intel,14,1300,2.2,15,25.6,2,2015,8,281,Mobile,-8.66990677108459
Intel Core i3-7100 x 1,1,Intel,14,,3.9,51,38.4,2,2017,10,117,Desktop,-6.23640841745837
Intel Core i3-8100 x 1,1,Intel,14,,3.6,65,38.4,4,2017,10,117,Desktop,-4.73985953814814
Intel Core i3-8100T x 1,1,Intel,14,,3.1,35,38.4,4,2018,11,117,Desktop,-6.25297230512186
Intel Core i5 460M x 1,1,Intel,32,382,2.534,35,,2,2010,3,,Mobile,-32.3258695264825
Intel Core i5 x 1,1,Intel,14,,2.4,45,46.9,4,2020,13,,Mobile,-11.5082510369149
Intel Core i5-10210U x 1,1,Intel,14,,,25,,4,2019,12,,Mobile,-3.37827022999014
Intel Core i5-1035G1 x 1,1,Intel,10,,,15,51.2,4,2019,12,,Mobile,-2.56397575061027
Intel Core i5-10600K x 1,1,Intel,14,,4.1,125,42.7,6,2020,13,288,Desktop,-0.414252308072387
Intel Core i5-1135G7 x 1,1,Intel,10,,,15,,4,2020,13,309,Mobile,-4.5616546400526
Intel Core i5-11600K x 1,1,Intel,14,,3.9,125,51.2,6,2021,14,262,Desktop,1.16828025366514
Intel Core i5-12400 x 1,1,Intel,10,,2.5,65,,6,2022,15,199,Desktop,1.55934904068667
Intel Core i5-12600 x 1,1,Intel,10,,3.3,65,,6,2022,15,233,Desktop,10.2837520132911
Intel Core i5-12600K x 1,1,Intel,10,,3.7,125,,10,2021,14,289,Desktop,1.94198466725576
Intel Core i5-1334U x 1,1,Intel,10,,,15,,10,2023,16,340,Mobile,-1.92257692266292
Intel Core i5-13400 x 1,1,Intel,10,,2.5,65,,10,2023,16,221,Desktop,1.62198221193857
Intel Core i5-13600K x 1,1,Intel,10,,3.5,125,,14,2022,15,319,Desktop,3.30520051108584
Intel Core i5-14400F x 1,1,Intel,10,,2.5,65,,10,2024,17,196,Desktop,2.48591629434375
Intel Core i5-14500 x 1,1,Intel,10,,2.6,65,,14,2024,17,232,Desktop,2.6227799023022
Intel Core i5-14600K x 1,1,Intel,10,,3.5,125,,14,2023,16,319,Desktop,3.37138109239229
Intel Core i5-2400 x 1,1,Intel,32,1160,3.1,95,,4,2011,4,184,Desktop,-6.13620117351771
Intel Core i5-2410M x 1,1,Intel,32,624,2.3,35,,2,2011,4,,Mobile,-12.7216217896084
Intel Core i5-2500S x 1,1,Intel,32,1160,2.7,65,,4,2011,4,,Desktop,-7.62624449829631
Intel Core i5-2520M x 1,1,Intel,32,624,2.5,35,,2,2011,4,,Mobile,-13.3599644850685
Intel Core i5-3320M x 1,1,Intel,22,,2.6,35,,2,2012,5,,Mobile,-7.55543558022162
Intel Core i5-3427U x 1,1,Intel,22,,,17,,2,2012,5,,Mobile,-10.3241417976309
Intel Core i5-3470 x 1,1,Intel,22,1400,3.2,77,25.6,4,2012,5,184,Desktop,-6.23530728074557
Intel Core i5-3550 x 1,1,Intel,22,1400,3.3,77,25.6,4,2012,5,194,Desktop,-6.28099282506115
Intel Core i5-3570K x 1,1,Intel,22,1400,3.4,77,25.6,4,2012,5,212,Desktop,-6.62795941584783
Intel Core i5-4210U x 1,1,Intel,22,1400,,15,,2,2014,7,,Mobile,-8.86955554606281
Intel Core i5-4278U x 1,1,Intel,22,1400,2.4,28,,2,2013,6,,Mobile,-11.3125529966254
Intel Core i5-4300M x 1,1,Intel,22,1400,2.6,37,,2,2013,6,,Mobile,-7.19016422295983
Intel Core i5-4430 x 1,1,Intel,22,1400,3,84,,4,2013,6,187,Desktop,-7.30029350842162
Intel Core i5-4460 x 1,1,Intel,22,1400,3.2,84,25.6,4,2014,7,187,Desktop,-5.95276339112211
Intel Core i5-4670 x 1,1,Intel,22,1400,3.4,84,,4,2013,6,224,Desktop,-5.09101459340291
Intel Core i5-5200U x 1,1,Intel,14,1300,2.2,15,25.6,2,2015,8,281,Mobile,-5.50514019471846
Intel Core i5-5300U x 1,1,Intel,14,1300,2.3,15,25.6,2,2015,8,315,Mobile,-9.23204663136287
Intel Core i5-6200U x 1,1,Intel,22,1400,,15,,2,2013,6,,Mobile,-7.82932756149682
Intel Core i5-6260U x 1,1,Intel,10,,3.3,65,,6,2022,15,233,Desktop,-4.7550443680382
Intel Core i5-6300U x 1,1,Intel,14,1300,2.3,15,25.6,2,2015,8,315,Mobile,-7.63584245303028
Intel Core i5-6500 x 1,1,Intel,14,,3.2,65,34.1,4,2015,8,202,Desktop,-3.69420723554008
Intel Core i5-6500T x 1,1,Intel,14,,2.5,35,34.1,4,2015,8,192,Desktop,-6.8551959699975
Intel Core i5-7200U x 1,1,Intel,22,1400,,15,,2,2013,6,,Mobile,-7.60241913633853
Intel Core i5-7600K x 1,1,Intel,14,,3.8,91,38.4,4,2017,10,242,Desktop,-4.75493753811318
Intel Core i5-8250U x 1,1,Intel,14,,,15,,4,2017,10,,Mobile,-5.31940201289769
Intel Core i5-8300H x 1,1,Intel,14,,2.3,45,,4,2018,11,,Mobile,-2.56397575061113
Intel Core i5-8400 x 1,1,Intel,14,,2.8,65,42.7,6,2017,10,182,Desktop,-1.81271940179281
Intel Core i5-8400H x 1,1,Intel,14,,2.5,45,,4,2018,11,,Mobile,-4.32557255882517
Intel Core i5-8600K x 1,1,Intel,14,,3.6,95,42.7,6,2017,10,257,Desktop,-4.09337990176461
Intel Core i5-9400F x 1,1,Intel,14,,2.9,65,42.7,6,2019,12,182,Desktop,-2.28042030739731
Intel Core i7 920 x 1,1,Intel,45,731,2.666,130,,4,2008,1,280,Desktop,-13.8793761676391
Intel Core i7 990X x 1,1,Intel,32,1170,3.466,130,,6,2011,4,1000,Desktop,-5.66586854178288
Intel Core i7-1065G7 x 1,1,Intel,10,,,15,51.2,4,2019,12,,Mobile,-3.20938535634649
Intel Core i7-10700T x 1,1,Intel,14,,2.9,65,46.9,8,2020,13,325,Desktop,-1.7782909123059
Intel Core i7-1165G7 x 1,1,Intel,10,,2.8,28,,4,2020,13,426,Mobile,-1.24595222228352
Intel Core i7-11700B x 1,1,Intel,10,,3.2,65,51.2,8,2021,14,,Mobile,0.0296146824402069
Intel Core i7-11700K x 1,1,Intel,14,,3.6,125,51.2,8,2021,14,399,Desktop,1.57375923391798
Intel Core i7-1185G7 x 1,1,Intel,10,,3,28,,4,2020,13,426,Mobile,-0.97223414915583
Intel Core i7-1185G7E x 1,1,Intel,10,,,15,,4,2020,13,431,Mobile,-1.27724548402132
Intel Core i7-12700K x 1,1,Intel,10,,3.6,125,,12,2021,14,409,Desktop,1.90325977803638
Intel Core i7-12700KF x 1,1,Intel,10,,3.6,125,,12,2021,14,384,Desktop,4.90423473686092
Intel Core i7-1280P x 1,1,Intel,10,,,28,,14,2022,15,,Mobile,0.216567995518461
Intel Core i7-2600 x 1,1,Intel,32,1160,3.4,95,,4,2011,4,294,Desktop,-10.3150383913314
Intel Core i7-2700K x 1,1,Intel,32,1160,3.5,95,21.3,4,2011,4,332,Desktop,-6.83999103351546
Intel Core i7-3517U x 1,1,Intel,22,,,17,,2,2012,5,,Mobile,-11.3206292198842
Intel Core i7-3630QM x 1,1,Intel,22,1480,2.4,45,25.6,4,2012,5,378,Mobile,-13.420178599239
Intel Core i7-3632QM x 1,1,Intel,22,1480,2.2,35,,4,2012,5,,Mobile,-5.55610823844602
Intel Core i7-3770 x 1,1,Intel,22,1400,3.4,77,25.6,4,2012,5,278,Desktop,-9.90932018914082
Intel Core i7-3770K x 1,1,Intel,22,1400,3.5,77,25.6,4,2012,5,313,Desktop,-8.00628593631798
Intel Core i7-4558U x 1,1,Intel,22,1300,2.8,28,,2,2013,6,,Mobile,-8.78809938839758
Intel Core i7-4600U x 1,1,Intel,22,1300,2.1,15,,2,2013,6,,Mobile,-8.90002766345769
Intel Core i7-4770K x 1,1,Intel,22,1400,3.5,84,25.6,4,2013,6,350,Desktop,-4.86877071227113
Intel Core i7-4790 x 1,1,Intel,22,1400,3.6,84,25.6,4,2014,7,312,Desktop,-4.39621882726081
Intel Core i7-4790K x 1,1,Intel,22,1400,4,88,25.6,4,2014,7,350,Desktop,-3.5903289973235
Intel Core i7-4960X x 1,1,Intel,22,1860,3.6,130,,6,2013,6,1000,Desktop,-5.09728688470659
Intel Core i7-5500U x 1,1,Intel,14,1300,2.4,15,25.6,2,2015,8,393,Mobile,-8.89849535391228
Intel Core i7-5557U x 1,1,Intel,14,1900,3.1,28,29.9,2,2015,8,426,Mobile,-7.07893812357159
Intel Core i7-5600U x 1,1,Intel,14,1300,2.6,15,25.6,2,2015,8,393,Mobile,-6.96660563631961
Intel Core i7-5820K x 1,1,Intel,22,2600,3.3,140,68.3,6,2014,7,389,Desktop,-6.97882608829053
Intel Core i7-5960X x 1,1,Intel,22,2600,3,140,68.3,8,2014,7,1000,Desktop,-0.824003923243419
Intel Core i7-6500U x 1,1,Intel,22,1300,,15,,2,2013,6,,Mobile,-7.977491688005
Intel Core i7-6700 x 1,1,Intel,14,,3.4,65,34.1,4,2015,8,303,Desktop,-2.21061250680467
Intel Core i7-6700HQ x 1,1,Intel,22,1400,2.4,47,25.6,4,2013,6,,Mobile,-5.61536437476763
Intel Core i7-6700K x 1,1,Intel,14,,4,91,34.1,4,2015,8,339,Desktop,-4.47492200704161
Intel Core i7-6800K x 1,1,Intel,14,3400,3.4,140,76.8,6,2016,9,434,Desktop,-1.50342791069912
Intel Core i7-7700 x 1,1,Intel,14,,3.6,65,38.4,4,2017,10,312,Desktop,-6.76405647051398
Intel Core i7-7700K x 1,1,Intel,14,,4.2,91,38.4,4,2017,10,340,Desktop,-2.19758652712267
Intel Core i7-7740K x 1,1,Intel,14,,4.3,112,,4,2017,10,350,Desktop,-1.42530554240202
Intel Core i7-7900X x 1,1,Intel,14,,3.5,140,76.8,6,2017,10,383,Desktop,1.70486165840692
Intel Core i7-8086K x 1,1,Intel,14,,4,95,42.7,6,2018,11,425,Desktop,-1.0436750667569
Intel Core i7-8550U x 1,1,Intel,14,,,15,,4,2017,10,,Mobile,-3.77441771102118
Intel Core i7-8559U x 1,1,Intel,14,,2.7,28,,4,2018,11,,Mobile,-5.37948080172104
Intel Core i7-8565U x 1,1,Intel,14,,,15,38.4,4,2018,11,409,Mobile,-3.58675258226189
Intel Core i7-8700 x 1,1,Intel,14,,3.2,65,42.7,6,2017,10,303,Desktop,-2.1616364733776
Intel Core i7-8700B x 1,1,Intel,14,,3.2,65,42.7,6,2018,11,303,Desktop,-1.88686213875152
Intel Core i7-8700K x 1,1,Intel,14,,3.7,95,42.7,6,2017,10,359,Desktop,-1.07226664234978
Intel Core i7-8809G x 1,1,Intel,14,,3.1,65,,4,2018,11,,Mobile,-2.1750355666834
Intel Core i7-9700TE x 1,1,Intel,14,,,35,42.7,8,2019,12,323,Desktop,-5.21505020657375
Intel Core i7-9750H x 1,1,Intel,14,,2.6,45,42.7,6,2019,12,,Mobile,-2.65556593790909
Intel Core i7-9850H x 1,1,Intel,14,,2.6,45,42.7,6,2019,12,,Mobile,-5.51489432687258
Intel Core i9-10850K x 1,1,Intel,14,,3.6,125,46.9,10,2020,13,500,Desktop,1.88072585277912
Intel Core i9-10885H x 1,1,Intel,14,,2.4,45,46.9,8,2020,13,556,Mobile,-1.64839993674359
Intel Core i9-10900K x 1,1,Intel,14,,3.7,125,46.9,10,2020,13,547,Desktop,1.44126971336817
Intel Core i9-10900KF x 1,1,Intel,14,,3.7,125,46.9,10,2020,13,509,Desktop,4.42001156636675
Intel Core i9-10980XE x 1,1,Intel,14,,3,165,93.9,18,2019,12,1076,Desktop,2.33379616705598
Intel Core i9-11900K x 1,1,Intel,14,,3.5,125,51.2,8,2021,14,539,Desktop,2.3589672495198
Intel Core i9-11980HK x 1,1,Intel,10,,2.6,45,51.2,8,2021,14,583,Mobile,-1.15276783707688
Intel Core i9-12900H x 1,1,Intel,10,,2.5,45,,14,2022,15,,Mobile,-0.775384263418613
Intel Core i9-12900K x 1,1,Intel,10,,3.2,125,,16,2021,14,599,Desktop,3.16384402833896
Intel Core i9-13900K x 1,1,Intel,10,,3,125,,24,2022,15,589,Desktop,4.56425576127039
Intel Core i9-14900K x 1,1,Intel,10,,3.2,125,,24,2023,16,589,Desktop,4.53701257530323
Intel Core i9-7960X x 1,1,Intel,14,,2.8,165,85.3,16,2017,10,1699,Desktop,1.00288562483864
Intel Core i9-7980XE x 1,1,Intel,14,,2.6,165,85.3,18,2017,10,1999,Desktop,1.74691092022489
Intel Core i9-9900 x 1,1,Intel,14,,3.1,65,42.7,8,2019,12,423,Desktop,1.08357585681018
Intel Core i9-9900K x 1,1,Intel,14,,3.6,95,42.7,8,2018,11,488,Desktop,0.175818918832565
Intel Core i9-9900KS x 1,1,Intel,14,,4,127,42.7,8,2019,12,513,Desktop,-0.0804545820273021
Intel Core m3-6Y30 x 1,1,Intel,14,,,5,29.9,2,2015,8,281,Mobile,-15.2170904946753
Intel Core m3-7Y30 x 1,1,Intel,14,,,5,29.9,2,2015,8,281,Mobile,-9.77806019258006
Intel N150 x 1,1,Intel,10,,,6,38.4,4,2024,17,,Mobile,-0.00147511359442853
Intel Pentium G4400 x 1,1,Intel,14,1400,3.3,51,34.1,2,2015,8,64,Desktop,-4.39838485353994
Intel Pentium Gold G6400 x 1,1,Intel,14,,4,58,42.7,2,2020,13,64,Desktop,-6.47872016481099
Intel Xeon 6369P x 1,1,Intel,10,,3.3,95,,8,2025,18,606,Server/Workstation,4.42328642689668
Intel Xeon 6728P x 4,4,Intel,5,,2.7,210,409.6,24,2025,18,2478,Server/Workstation,9.91047728643973
Intel Xeon 6766E x 1,1,Intel,5,,,250,409.6,144,2024,17,10257,Server/Workstation,8.02228164453752
Intel Xeon 6766E x 2,2,Intel,5,,,250,409.6,144,2024,17,10257,Server/Workstation,9.38685278592953
Intel Xeon 6780E x 1,1,Intel,5,,2.2,330,409.6,144,2024,17,11350,Server/Workstation,8.06121647161078
Intel Xeon 6980P x 1,1,Intel,5,,,500,614.4,128,2024,17,12460,Server/Workstation,9.26179385881352
Intel Xeon 6980P x 2,2,Intel,5,,,500,614.4,128,2024,17,12460,Server/Workstation,10.6922657087745
Intel Xeon E E-2488 x 1,1,Intel,10,,3.2,95,76.8,8,2023,16,606,Server/Workstation,3.27163604252545
Intel Xeon E-2278G x 1,1,Intel,14,,3.4,95,42.7,8,2019,12,494,Server/Workstation,-1.15372436201594
Intel Xeon E-2278GEL x 1,1,Intel,14,,,35,42.7,8,2019,12,519,Server/Workstation,-1.78198242668524
Intel Xeon E-2288G x 1,1,Intel,14,,3.7,95,42.7,8,2019,12,539,Server/Workstation,-0.574170613415275
Intel Xeon E-2336 x 1,1,Intel,14,,2.9,65,51.2,6,2021,14,284,Server/Workstation,-0.0214775822655639
Intel Xeon E-2388G x 1,1,Intel,14,,3.2,95,51.2,8,2021,14,539,Server/Workstation,-0.0819118374983823
Intel Xeon E3-1231 v3 x 1,1,Intel,22,1400,3.4,80,25.6,4,2014,7,250,Server/Workstation,-4.24407162344889
Intel Xeon E3-1235L v5 x 1,1,Intel,14,1750,,25,34.1,4,2015,8,250,Server/Workstation,-4.86308536873868
Intel Xeon E3-1240 v5 x 1,1,Intel,14,1750,3.5,80,34.1,4,2015,8,282,Server/Workstation,-3.4827821093093
Intel Xeon E3-1245 v5 x 1,1,Intel,14,1750,3.5,80,34.1,4,2015,8,294,Server/Workstation,-2.97593490660712
Intel Xeon E3-1260L v5 x 1,1,Intel,14,1750,2.9,45,34.1,4,2015,8,294,Server/Workstation,-3.77687248988355
Intel Xeon E3-1270 v5 x 1,1,Intel,14,1750,3.6,80,34.1,4,2015,8,339,Server/Workstation,-3.55139575193602
Intel Xeon E3-1275 v6 x 1,1,Intel,14,1400,4.1,79,,4,2017,10,340,Server/Workstation,-2.17953712658768
Intel Xeon E3-1280 v5 x 1,1,Intel,14,1750,3.7,80,,4,2015,8,612,Server/Workstation,-3.31712275258501
Intel Xeon E5-1680 v3 x 1,1,Intel,22,2600,3.2,140,68.3,8,2014,7,,Server/Workstation,-2.3432994879721
Intel Xeon E5-2609 v4 x 1,1,Intel,32,1270,2.4,80,,4,2012,5,306,Server/Workstation,-5.2453882630944
Intel Xeon E5-2620 v2 x 2,2,Intel,22,1400,2.1,80,,6,2013,6,320,Server/Workstation,-1.76191885852171
Intel Xeon E5-2643 v3 x 2,2,Intel,22,2600,3.4,135,68.3,6,2014,7,1552,Server/Workstation,-0.0623061504841131
Intel Xeon E5-2650 0 x 2,2,Intel,32,2270,,95,,8,2012,5,1107,Server/Workstation,-2.74243096726116
Intel Xeon E5-2670 0 x 2,2,Intel,32,2270,2.6,115,,8,2012,5,,Server/Workstation,2.30817443418884
Intel Xeon E5-2678 v3 x 2,2,Intel,22,2600,2.5,120,68.3,12,2015,8,,Server/Workstation,-6.77911085066223
Intel Xeon E5-2680 v2 x 2,2,Intel,22,1400,2.8,115,,10,2013,6,,Server/Workstation,-1.7024470976403
Intel Xeon E5-2683 v4 x 2,2,Intel,22,2600,,120,68.3,14,2014,7,1846,Server/Workstation,1.93121039594072
Intel Xeon E5-2687W 0 x 2,2,Intel,32,2270,3.1,150,,8,2012,5,,Server/Workstation,1.3118843791063
Intel Xeon E5-2687W v3 x 1,1,Intel,22,2600,3.1,160,68.3,10,2014,7,2141,Server/Workstation,-2.80924211645952
Intel Xeon E5-2690 v4 x 2,2,Intel,14,3400,2.2,105,68.3,12,2016,9,1166,Server/Workstation,4.07738796048658
Intel Xeon E5-2696 v4 x 2,2,Intel,22,5690,2.3,145,68.3,18,2014,7,,Server/Workstation,4.25652254528172
Intel Xeon E5-2699 v4 x 2,2,Intel,14,7200,2.4,145,76.8,22,2016,9,4938,Desktop,3.64966120271464
Intel Xeon E5-4620 v4 x 4,4,Intel,14,3400,3.5,140,76.8,4,2016,9,294,Desktop,1.43733512902845
Intel Xeon Gold 5215 x 1,1,Intel,10,,2.9,150,281.6,8,2023,16,1076,Server/Workstation,-3.32588472422387
Intel Xeon Gold 5217 x 1,1,Intel,10,,3,150,187.7,12,2021,14,,Server/Workstation,-2.7096420734322
Intel Xeon Gold 5218 x 1,1,Intel,14,,2.5,150,128,18,2021,14,,Server/Workstation,-0.825405607988233
Intel Xeon Gold 5218 x 2,2,Intel,14,,2.5,150,128,18,2021,14,,Server/Workstation,-1.19624340199846
Intel Xeon Gold 5220R x 1,1,Intel,10,,2.2,185,191.6,26,2021,14,,Server/Workstation,-0.513680100957303
Intel Xeon Gold 5220R x 2,2,Intel,10,,2.2,185,191.6,26,2021,14,,Server/Workstation,2.41460397989685
Intel Xeon Gold 5412U x 1,1,Intel,10,,2.1,185,281.6,24,2023,16,1113,Server/Workstation,3.26432135873436
Intel Xeon Gold 5416S x 1,1,Intel,10,,,150,281.6,16,2023,16,944,Server/Workstation,2.98773818317058
Intel Xeon Gold 6130 x 2,2,Intel,10,,,205,204.8,28,2021,14,,Server/Workstation,-7.35507771656302
Intel Xeon Gold 6138 x 2,2,Intel,10,,2.2,185,170.7,32,2021,14,,Server/Workstation,1.37031366077022
Intel Xeon Gold 6140 x 2,2,Intel,14,8000,3,200,,18,2017,10,,Server/Workstation,3.17567667764228
Intel Xeon Gold 6142 x 2,2,Intel,10,,2.8,230,204.8,24,2021,14,,Server/Workstation,-7.55077575685
Intel Xeon Gold 6144 x 2,2,Intel,14,8000,3,200,,18,2017,10,,Server/Workstation,3.14891129889488
Intel Xeon Gold 6226R x 1,1,Intel,10,,2.9,185,204.8,16,2021,14,,Server/Workstation,1.55434691992753
Intel Xeon Gold 6226R x 2,2,Intel,10,,2.9,185,204.8,16,2021,14,,Server/Workstation,-3.63711558608139
Intel Xeon Gold 6248R x 2,2,Intel,10,,2.6,235,204.8,28,2021,14,,Server/Workstation,-0.465801055752127
Intel Xeon Gold 6254 x 2,2,Intel,14,8000,3,200,,18,2017,10,,Server/Workstation,-3.99617044714797
Intel Xeon Gold 6254 x 4,4,Intel,14,8000,3,200,,18,2017,10,,Server/Workstation,-5.77575574708518
Intel Xeon Gold 6258R x 1,1,Intel,10,,2.9,185,204.8,16,2021,14,,Server/Workstation,0.799727470890541
Intel Xeon Gold 6338 x 1,1,Intel,10,,2.2,185,170.7,32,2021,14,,Server/Workstation,1.57289382781351
Intel Xeon Gold 6338 x 2,2,Intel,10,,2.2,185,170.7,32,2021,14,,Server/Workstation,4.46569882018946
Intel Xeon Gold 6342 x 1,1,Intel,10,,2.8,230,204.8,24,2021,14,,Server/Workstation,2.9986015541223
Intel Xeon Gold 6342 x 2,2,Intel,10,,2.8,230,204.8,24,2021,14,,Server/Workstation,4.86466049543745
Intel Xeon Gold 6346 x 1,1,Intel,10,,3.1,205,204.8,16,2021,14,,Server/Workstation,2.02289956806176
Intel Xeon Gold 6346 x 2,2,Intel,10,,3.1,205,204.8,16,2021,14,,Server/Workstation,4.0206410688362
Intel Xeon Gold 6414U x 1,1,Intel,10,,,250,307.2,32,2023,16,2296,Server/Workstation,5.83783871395752
Intel Xeon Gold 6442Y x 1,1,Intel,10,,2.6,225,307.2,24,2023,16,2065,Server/Workstation,6.36006645517269
Intel Xeon Gold 6442Y x 2,2,Intel,10,,2.6,225,307.2,24,2023,16,2065,Server/Workstation,7.9751698599501
Intel Xeon Gold 6444Y x 2,2,Intel,10,,3.6,270,307.2,16,2023,16,1517,Server/Workstation,7.8018552076237
Intel Xeon L5640 x 2,2,Intel,32,1170,2.266,60,,6,2010,3,,Server/Workstation,-2.09671415686465
Intel Xeon Max 9468 x 1,1,Intel,10,,2.1,350,307.2,48,2023,16,9900,Server/Workstation,5.80109550285856
Intel Xeon Max 9468 x 2,2,Intel,10,,2.1,350,307.2,48,2023,16,9900,Server/Workstation,6.52725722160491
Intel Xeon Max 9480 x 1,1,Intel,10,,,350,307.2,56,2023,16,12980,Server/Workstation,5.71575958229114
Intel Xeon Max 9480 x 2,2,Intel,10,,,350,307.2,56,2023,16,12980,Server/Workstation,8.51084664857851
Intel Xeon Platinum 8253 x 1,1,Intel,14,8000,2.2,125,,16,2018,11,,Server/Workstation,-5.40435347545931
Intel Xeon Platinum 8259L x 2,2,Intel,10,,,350,307.2,56,2023,16,,Server/Workstation,-3.91145244533045
Intel Xeon Platinum 8260 x 2,2,Intel,14,8000,2.4,165,,24,2018,11,,Server/Workstation,3.60255551233411
Intel Xeon Platinum 8272CL x 2,2,Intel,10,,,350,307.2,56,2023,16,,Server/Workstation,-2.87487904165707
Intel Xeon Platinum 8280 x 1,1,Intel,14,8000,2.7,205,,28,2018,11,,Server/Workstation,0.821529976491992
Intel Xeon Platinum 8280 x 2,2,Intel,14,8000,2.7,205,,28,2018,11,,Server/Workstation,3.99525439060648
Intel Xeon Platinum 8362 x 1,1,Intel,10,,2.8,265,204.8,32,2021,14,,Server/Workstation,4.6678738119209
